WARNING: src/modules/memory/instruction_memory.v:13: $readmemb(data/inst.mem): Not enough words in the file for the requested range [0:63].
                   0 ** Start Simulation **
                   0 Instruction Memory 
VCD info: dumpfile sim.vcd opened for output.
                   0 [PC] pc :          x
                   5 [PC] pc :          0
                  65 [PC] pc :          4
                  75 [PC] pc :          8
                  85 [PC] pc :         12
                  95 [PC] pc :        108
                 105 [PC] pc :        112
                 115 [PC] pc :        116
                 125 [PC] pc :        120
                 135 [PC] pc :        124
                 145 [PC] pc :        128
                 155 [PC] pc :        132
                 165 [PC] pc :        136
                 175 [PC] pc :        140
                 185 [PC] pc :        144
                 195 [PC] pc :        148
                 205 [PC] pc :        152
                 215 [PC] pc :        156
                 225 [PC] pc :          8
                 235 [PC] pc :         12
                 245 [PC] pc :         16
                 255 [PC] pc :         20
                 265 [PC] pc :         24
                 275 [PC] pc :         28
                 285 [PC] pc :         32
                 295 [PC] pc :         36
                 305 [PC] pc :         40
                 315 [PC] pc :         44
                 325 [PC] pc :         56
                 335 [PC] pc :         60
                 345 [PC] pc :         64
                 365 [PC] pc :         68
                 375 [PC] pc :         72
                 385 [PC] pc :         76
                 395 [PC] pc :         80
                 415 [PC] pc :         84
                 425 [PC] pc :         88
                 435 [PC] pc :         92
                 455 [PC] pc :         96
                 465 [PC] pc :        100
                 475 [PC] pc :        104
                 485 [PC] pc :        108
                 495 [PC] pc :        112
                 505 [PC] pc :        152
                 515 [PC] pc :        156
                 525 [PC] pc :        160
                 535 [PC] pc :        164
                 545 [PC] pc :        168
                 555 [PC] pc :        172
                 565 [PC] pc :        176
                 575 [PC] pc :        180
                 585 [PC] pc :        184
                 595 [PC] pc :        176
                 605 [PC] pc :        180
                 615 [PC] pc :        184
                 625 [PC] pc :        176
                 635 [PC] pc :        180
                 645 [PC] pc :        184
                 655 [PC] pc :        176
                 665 [PC] pc :        180
                 675 [PC] pc :        184
                 685 [PC] pc :        176
                 695 [PC] pc :        180
                 705 [PC] pc :        184
                 715 [PC] pc :        176
                 725 [PC] pc :        180
                 735 [PC] pc :        184
                 745 [PC] pc :        176
                 755 [PC] pc :        180
                 765 [PC] pc :        184
                 775 [PC] pc :        176
                 785 [PC] pc :        180
                 795 [PC] pc :        184
                 805 [PC] pc :        176
                 815 [PC] pc :        180
                 825 [PC] pc :        184
                 835 [PC] pc :        176
                 845 [PC] pc :        180
                 855 [PC] pc :        184
                 865 [PC] pc :        176
                 875 [PC] pc :        180
                 885 [PC] pc :        184
                 895 [PC] pc :        176
                 905 [PC] pc :        180
                 915 [PC] pc :        184
                 925 [PC] pc :        176
                 935 [PC] pc :        180
                 945 [PC] pc :        184
                 955 [PC] pc :        176
                 965 [PC] pc :        180
